case_id,category,question,confirmation,reference_material,expected_answer,expected_answer_keywords,expected_sources,expected_pages,expected_document_ids,expected_chunk_ids,allowed_knowledge_base_ids,tenant_id,knowledge_base_id,user_id,should_refuse,max_cost,citation_requirements,permission_scope,injection_attack_type,notes,approval_status,approved_by,approved_at,reviewer_comment
phase1-slot-031,fact,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-032,fact,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-033,fact,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-034,fact,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-035,fact,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-036,multi_document,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-037,multi_document,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-038,multi_document,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-039,multi_document,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-040,multi_document,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-041,multi_document,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-042,multi_document,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-043,multi_document,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-044,multi_document,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-045,multi_document,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-046,table_image,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-047,table_image,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-048,table_image,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-049,table_image,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-050,table_image,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-051,table_image,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-052,table_image,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
